Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child CPS,Child Justice,Child Welfare,Parent Demographics,Parent Welfare,Perp Demographics,Perp Welfare,All CPS,All Health
1883,1768,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Very Unfair,Fair,Very Unfair,Fair,Unfair,Fair,Fair,Somewhat Unfair
1884,2413,18-29,Graduate,Male,,75000-100000,false,false,false,false,true,,cps,properties first,Somewhat Unfair,Very Fair,Very Fair,Very Fair,Unfair,Fair,Somewhat Unfair,Somewhat Unfair,Very Fair,Fair
1885,1608,30-39,Graduate,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Unfair,Very Fair,Neutral,Fair,Unfair,Fair,Somewhat Unfair,Fair,Fair,Fair
1886,1178,50-59,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Very Fair,Very Fair,Neutral,Very Fair,Neutral,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Very Fair,Very Fair
1887,2576,30-39,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Very Fair,Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Fair,Unfair
1888,1686,30-39,High School,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Unfair,Fair,Neutral,Neutral,Unfair,Unfair,Unfair,Neutral,Neutral,Somewhat Fair
1889,559,50-59,Graduate,Male,,>100000,true,false,false,true,false,,cps,fairness first,Somewhat Unfair,Very Fair,Very Fair,Somewhat Fair,Very Unfair,Fair,Very Unfair,Fair,Very Fair,Very Fair
1890,1308,18-29,Bachelor,Female,,75000-100000,false,false,false,false,true,,cps,fairness first,Very Unfair,Very Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Very Fair,Very Fair
1891,402,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,cps,fairness first,Neutral,Fair,Unfair,Fair,Fair,Fair,Somewhat Fair,Fair,Fair,Fair
1892,2852,18-29,Bachelor,Female,,75000-100000,false,true,false,true,false,,cps,properties first,Neutral,Somewhat Fair,Neutral,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1893,1987,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,cps,properties first,Very Fair,Fair,Fair,Fair,Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Fair
1894,2625,18-29,Graduate,Male,,50000-75000,false,true,false,false,false,,cps,properties first,Somewhat Fair,Fair,Somewhat Unfair,Fair,Fair,Fair,Fair,Fair,Very Fair,Unfair
1895,1701,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,cps,properties first,Neutral,Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Neutral,Unfair,Somewhat Unfair,Somewhat Unfair,Fair
1896,353,18-29,Bachelor,Male,,50000-75000,false,true,false,false,false,,cps,fairness first,Unfair,Somewhat Fair,Fair,Somewhat Unfair,Fair,Fair,Somewhat Fair,Fair,Fair,Fair
1897,558,40-49,High School,Female,,25000-50000,false,false,false,true,true,,cps,properties first,Neutral,Fair,Somewhat Unfair,Fair,Unfair,Unfair,Unfair,Unfair,Somewhat Fair,Somewhat Fair
1898,1248,18-29,Graduate,Female,,<25000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Very Unfair,Very Fair,Very Unfair,Fair,Very Unfair,Fair,Neutral,Unfair
1899,2371,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,cps,fairness first,Unfair,Fair,Somewhat Unfair,Fair,Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Very Unfair
1900,2129,30-39,Graduate,Male,,75000-100000,false,false,true,false,false,,cps,properties first,Fair,Fair,Very Fair,Fair,Fair,Very Fair,Very Fair,Very Fair,Fair,Fair
1901,743,30-39,Graduate,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Unfair,Neutral,Unfair,Very Unfair,Neutral,Very Unfair,Neutral,Fair,,Very Unfair
1902,2099,30-39,Associate or Diploma,Male,,50000-75000,false,false,true,false,false,,cps,properties first,Very Unfair,Fair,Somewhat Fair,Somewhat Fair,Unfair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Unfair,Neutral
1903,2505,30-39,Bachelor,Female,,25000-50000,true,false,false,false,false,,cps,fairness first,Somewhat Unfair,Very Fair,Fair,Fair,Somewhat Unfair,Very Fair,Somewhat Unfair,Fair,Fair,Somewhat Fair
1904,1131,18-29,High School,Male,,75000-100000,false,false,false,true,false,,cps,fairness first,Fair,Fair,Very Fair,Somewhat Fair,Fair,Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair
1905,2118,18-29,High School,Female,,<25000,false,false,false,false,true,,cps,fairness first,Fair,Fair,Somewhat Unfair,Unfair,Fair,Fair,Fair,Fair,Unfair,Unfair
1906,476,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Somewhat Fair,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral
