Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child Demographics Reliability,Child Demographics Privacy,Child Demographics Volitionality,Child Demographics Causes Outcome,Child Demographics Causes Cycle,Child Demographics Causes Disparity,Child Demographics Caused by Group,Child CPS,Child CPS Reliability,Child CPS Privacy,Child CPS Volitionality,Child CPS Causes Outcome,Child CPS Causes Cycle,Child CPS Causes Disparity,Child CPS Caused by Group,Child Justice,Child Justice Reliability,Child Justice Privacy,Child Justice Volitionality,Child Justice Causes Outcome,Child Justice Causes Cycle,Child Justice Causes Disparity,Child Justice Caused by Group,Child Welfare,Child Welfare Reliability,Child Welfare Privacy,Child Welfare Volitionality,Child Welfare Causes Outcome,Child Welfare Causes Cycle,Child Welfare Causes Disparity,Child Welfare Caused by Group,Parent Demographics,Parent Demographics Reliability,Parent Demographics Privacy,Parent Demographics Volitionality,Parent Demographics Causes Outcome,Parent Demographics Causes Cycle,Parent Demographics Causes Disparity,Parent Demographics Caused by Group,Parent Welfare,Parent Welfare Reliability,Parent Welfare Privacy,Parent Welfare Volitionality,Parent Welfare Causes Outcome,Parent Welfare Causes Cycle,Parent Welfare Causes Disparity,Parent Welfare Caused by Group,Perp Demographics,Perp Demographics Reliability,Perp Demographics Privacy,Perp Demographics Volitionality,Perp Demographics Causes Outcome,Perp Demographics Causes Cycle,Perp Demographics Causes Disparity,Perp Demographics Caused by Group,Perp Welfare,Perp Welfare Reliability,Perp Welfare Privacy,Perp Welfare Volitionality,Perp Welfare Causes Outcome,Perp Welfare Causes Cycle,Perp Welfare Causes Disparity,Perp Welfare Caused by Group,All CPS,All CPS Reliability,All CPS Privacy,All CPS Volitionality,All CPS Causes Outcome,All CPS Causes Cycle,All CPS Causes Disparity,All CPS Caused by Group,All Health,All Health Reliability,All Health Privacy,All Health Volitionality,All Health Causes Outcome,All Health Causes Cycle,All Health Causes Disparity,All Health Caused by Group
1271,1458,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Unfair,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Agree,Agree,Neutral,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Fair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,,Somewhat Fair,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree
1272,2807,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,properties first,Neutral,Somewhat Agree,Neutral,,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Very Fair,Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,,Somewhat Disagree,Somewhat Fair,Neutral,Somewhat Disagree,,Disagree,Somewhat Disagree,Neutral,Disagree,Unfair,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Very Fair,Neutral,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Neutral,Fair,Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Very Unfair,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Neutral,Strongly Disagree,Somewhat Agree,Fair,Disagree,Somewhat Disagree,Neutral,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Disagree,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Neutral,Agree,Unfair,Disagree,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Disagree
1273,944,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Neutral,Strongly Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Very Fair,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Fair,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Fair,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Fair,Agree,Disagree,Disagree,Neutral,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Fair,Neutral,Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Disagree
1274,790,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Fair,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Fair,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Fair,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Somewhat Disagree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Somewhat Unfair,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Agree,Somewhat Disagree,Agree,Agree,Fair,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Agree,Agree,Agree
1275,532,40-49,Bachelor,Female,,>100000,false,true,false,false,false,,cps,properties first,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Fair,Somewhat Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Agree,Somewhat Disagree,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
1276,1779,60-69,Bachelor,Male,,75000-100000,false,false,true,false,false,,cps,fairness first,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,,Strongly Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Very Fair,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
1277,1025,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,properties first,Very Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree
1278,968,70 up,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Unfair,Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,,Agree,Somewhat Fair,Agree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Agree,,Somewhat Disagree,Agree,Agree,Agree,Strongly Agree,Fair,Neutral,Agree,Disagree,Strongly Agree,Agree,Agree,Somewhat Agree,Unfair,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Fair,Somewhat Disagree,Neutral,Disagree,Somewhat Disagree,Neutral,Neutral,Agree,Somewhat Unfair,Somewhat Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Unfair,Somewhat Disagree,Somewhat Agree,,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Somewhat Agree,Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree
1279,3534,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,cps,fairness first,Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Fair,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Very Fair,Strongly Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree
1280,817,50-59,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Neutral,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Neutral,Agree,Agree,Very Fair,Agree,,Somewhat Disagree,Neutral,Somewhat Agree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Somewhat Disagree,Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Agree,Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Unfair,Agree,Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Agree,Very Fair,Agree,Disagree,Disagree,Strongly Agree,Neutral,Disagree,Disagree,Fair,Somewhat Disagree,,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree
