Domain,Within,Error,Cross Trained,Error,Cross Tested,Error
Bail,0.8254426229508197,0.0004795394122159374,0.8075720602220315,0.015310680679019145,0.8142076502732241,0.0059704298861781874
CPS,0.8268981233243968,0.00046367075145125426,0.7868212721305283,0.018286729255334675,0.8045515394912985,0.010583258568167272
Hos,0.7878485915492959,0.0005599287569265806,0.8171629331191719,0.015351433653189512,0.7838312829525484,0.004682921825825739
Ins,0.8048197278911564,0.0005893914742226594,0.7997158092950502,0.0179834048430844,0.7955782312925169,0.012233081978472398
Loan,0.8759470899470898,0.00041278898309765995,0.8016676688616174,0.008111180284848606,0.8639365918097754,0.004006803405047056
Unem,0.7772065217391304,0.0005025929933049083,0.8236567326522939,0.014364282828669753,0.7744911804613298,0.005120206855933025
All,0.820094430992736,0.00018647668421049927,NA
