Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Current Charges,Current Charges Reliability,Current Charges Privacy,Current Charges Volitionality,Current Charges Causes Outcome,Current Charges Causes Cycle,Current Charges Causes Disparity,Current Charges Caused by Group,Criminal History,Criminal History Reliability,Criminal History Privacy,Criminal History Volitionality,Criminal History Causes Outcome,Criminal History Causes Cycle,Criminal History Causes Disparity,Criminal History Caused by Group,Substance Abuse,Substance Abuse Reliability,Substance Abuse Privacy,Substance Abuse Volitionality,Substance Abuse Causes Outcome,Substance Abuse Causes Cycle,Substance Abuse Causes Disparity,Substance Abuse Caused by Group,Employment and Living,Employment and Living Reliability,Employment and Living Privacy,Employment and Living Volitionality,Employment and Living Causes Outcome,Employment and Living Causes Cycle,Employment and Living Causes Disparity,Employment and Living Caused by Group,Personality,Personality Reliability,Personality Privacy,Personality Volitionality,Personality Causes Outcome,Personality Causes Cycle,Personality Causes Disparity,Personality Caused by Group,Criminal Attitudes,Criminal Attitudes Reliability,Criminal Attitudes Privacy,Criminal Attitudes Volitionality,Criminal Attitudes Causes Outcome,Criminal Attitudes Causes Cycle,Criminal Attitudes Causes Disparity,Criminal Attitudes Caused by Group,Neighbourhood,Neighbourhood Reliability,Neighbourhood Privacy,Neighbourhood Volitionality,Neighbourhood Causes Outcome,Neighbourhood Causes Cycle,Neighbourhood Causes Disparity,Neighbourhood Caused by Group,Friends and Family,Friends and Family Reliability,Friends and Family Privacy,Friends and Family Volitionality,Friends and Family Causes Outcome,Friends and Family Causes Cycle,Friends and Family Causes Disparity,Friends and Family Caused by Group,Social Life,Social Life Reliability,Social Life Privacy,Social Life Volitionality,Social Life Causes Outcome,Social Life Causes Cycle,Social Life Causes Disparity,Social Life Caused by Group,Education,Education Reliability,Education Privacy,Education Volitionality,Education Causes Outcome,Education Causes Cycle,Education Causes Disparity,Education Caused by Group
1097,338,30-39,Bachelor,Male,,50000-75000,false,false,true,false,false,,rec,fairness first,Very Fair,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Somewhat Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Disagree,Neutral,Somewhat Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Somewhat Agree,Disagree,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Disagree,Agree,Somewhat Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Unfair,Agree,Somewhat Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
1100,2413,18-29,Bachelor,Female,,25000-50000,false,true,false,false,false,,rec,fairness first,Somewhat Fair,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Unfair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Unfair,Somewhat Agree,Neutral,Somewhat Disagree,Neutral,Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Disagree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Neutral,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Fair,Neutral,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Fair,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree
1103,2674,40-49,High School,Male,,<25000,true,false,true,false,false,,rec,fairness first,Very Fair,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Disagree,Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Fair,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Fair,Agree,Disagree,Agree,Somewhat Agree,Neutral,Neutral,Agree,Very Fair,Agree,Disagree,Somewhat Agree,Agree,Agree,Agree,Agree,Fair,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Fair,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree
1105,1728,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,rec,properties first,Somewhat Fair,Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Fair,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Fair,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Very Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Agree,Agree,Fair,Agree,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Agree,Agree
1110,2705,18-29,High School,Male,,25000-50000,false,false,true,false,false,,rec,properties first,Very Fair,Strongly Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Very Fair,Strongly Agree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Fair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,,Somewhat Disagree,Disagree,Disagree,Fair,Agree,Neutral,,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Fair,Agree,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Strongly Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Unfair,Strongly Agree,Disagree,Somewhat Agree,Disagree,Somewhat Agree,Agree,Agree,Unfair,Agree,Agree,Disagree,,Somewhat Agree,Agree,Disagree,Somewhat Fair,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Unfair,Strongly Agree,Strongly Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Neutral
1114,2037,18-29,Bachelor,Female,,50000-75000,false,false,true,false,false,,rec,fairness first,Very Fair,Agree,Strongly Disagree,Agree,Strongly Agree,Somewhat Disagree,Disagree,Agree,Very Fair,Agree,Disagree,Agree,Neutral,Neutral,Neutral,Somewhat Agree,Fair,Agree,Somewhat Agree,Strongly Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Disagree,Strongly Agree,Neutral,Disagree,Neutral,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Neutral,Strongly Agree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Neutral,Agree,Agree,Very Unfair,Disagree,Agree,Somewhat Disagree,Neutral,Agree,Disagree,Agree,Somewhat Unfair,Agree,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Unfair,Agree,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Neutral
1116,1156,18-29,Graduate,Female,,25000-50000,false,false,true,false,false,,rec,fairness first,Somewhat Fair,Somewhat Agree,Agree,Neutral,Agree,Disagree,Somewhat Agree,Neutral,Somewhat Fair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Neutral,Unfair,Disagree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Fair,Neutral,Agree,Neutral,Somewhat Disagree,Neutral,Neutral,Somewhat Agree,Unfair,Agree,Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Neutral,Very Unfair,Somewhat Agree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Fair,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Unfair,Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Disagree,Neutral,Fair,Somewhat Disagree,Somewhat Agree,Agree,Neutral,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree
1117,2080,18-29,Graduate,Male,,75000-100000,false,true,false,false,false,,rec,fairness first,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Unfair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
1119,810,18-29,Bachelor,Female,,50000-75000,false,false,true,false,false,,rec,properties first,Very Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Fair,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Disagree,Somewhat Disagree,Neutral,Neutral,Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Disagree,Somewhat Agree,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,Very Unfair,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Neutral,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Very Unfair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1120,825,18-29,High School,Male,,<25000,false,false,false,false,true,,rec,fairness first,Very Fair,Strongly Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Strongly Disagree,Very Fair,Strongly Agree,Somewhat Agree,Disagree,Disagree,Agree,Disagree,Disagree,Fair,Agree,Somewhat Agree,Somewhat Agree,Disagree,,Disagree,Strongly Disagree,Unfair,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Disagree,Strongly Agree,Somewhat Agree,Somewhat Agree,Disagree,Disagree,Fair,Neutral,Disagree,Agree,Disagree,Somewhat Agree,Disagree,Disagree,Unfair,Somewhat Agree,Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Unfair,Somewhat Agree,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Very Unfair,Disagree,Agree,Somewhat Agree,Disagree,Disagree,Neutral,Disagree,Unfair,Agree,Somewhat Agree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree
