Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child Demographics Reliability,Child Demographics Privacy,Child Demographics Volitionality,Child Demographics Causes Outcome,Child Demographics Causes Cycle,Child Demographics Causes Disparity,Child Demographics Caused by Group,Child CPS,Child CPS Reliability,Child CPS Privacy,Child CPS Volitionality,Child CPS Causes Outcome,Child CPS Causes Cycle,Child CPS Causes Disparity,Child CPS Caused by Group,Child Justice,Child Justice Reliability,Child Justice Privacy,Child Justice Volitionality,Child Justice Causes Outcome,Child Justice Causes Cycle,Child Justice Causes Disparity,Child Justice Caused by Group,Child Welfare,Child Welfare Reliability,Child Welfare Privacy,Child Welfare Volitionality,Child Welfare Causes Outcome,Child Welfare Causes Cycle,Child Welfare Causes Disparity,Child Welfare Caused by Group,Parent Demographics,Parent Demographics Reliability,Parent Demographics Privacy,Parent Demographics Volitionality,Parent Demographics Causes Outcome,Parent Demographics Causes Cycle,Parent Demographics Causes Disparity,Parent Demographics Caused by Group,Parent Welfare,Parent Welfare Reliability,Parent Welfare Privacy,Parent Welfare Volitionality,Parent Welfare Causes Outcome,Parent Welfare Causes Cycle,Parent Welfare Causes Disparity,Parent Welfare Caused by Group,Perp Demographics,Perp Demographics Reliability,Perp Demographics Privacy,Perp Demographics Volitionality,Perp Demographics Causes Outcome,Perp Demographics Causes Cycle,Perp Demographics Causes Disparity,Perp Demographics Caused by Group,Perp Welfare,Perp Welfare Reliability,Perp Welfare Privacy,Perp Welfare Volitionality,Perp Welfare Causes Outcome,Perp Welfare Causes Cycle,Perp Welfare Causes Disparity,Perp Welfare Caused by Group,All CPS,All CPS Reliability,All CPS Privacy,All CPS Volitionality,All CPS Causes Outcome,All CPS Causes Cycle,All CPS Causes Disparity,All CPS Caused by Group,All Health,All Health Reliability,All Health Privacy,All Health Volitionality,All Health Causes Outcome,All Health Causes Cycle,All Health Causes Disparity,All Health Caused by Group
1322,1375,18-29,High School,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Neutral,Fair,Strongly Agree,Somewhat Agree,Strongly Disagree,Agree,Agree,Somewhat Disagree,Strongly Disagree,Neutral,Somewhat Disagree,Strongly Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Fair,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Somewhat Disagree,Strongly Agree,Unfair,Somewhat Agree,Disagree,,Somewhat Disagree,Agree,Agree,Somewhat Agree,Very Unfair,Disagree,Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Fair,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Fair,Somewhat Agree,Somewhat Agree,Disagree,Strongly Disagree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Strongly Disagree,Strongly Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Unfair,Somewhat Agree,Strongly Agree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree
1323,1500,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,cps,properties first,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Very Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Neutral,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Neutral,Neutral,Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Somewhat Agree
1326,857,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Fair,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Neutral,Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Neutral,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree
1328,858,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Neutral,Somewhat Agree,Somewhat Agree,,Neutral,Agree,Agree,Fair,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree
1329,650,18-29,High School,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Strongly Disagree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Unfair,Neutral,Disagree,Somewhat Disagree,Strongly Agree,,Somewhat Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Somewhat Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Very Unfair,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Unfair,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Agree,Very Unfair,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Neutral,Agree,Somewhat Fair,Somewhat Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Strongly Agree,Disagree,Somewhat Fair,Strongly Disagree,Disagree,Somewhat Disagree,Agree,Agree,Somewhat Disagree,Somewhat Agree
1331,619,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,cps,fairness first,Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree,Unfair,Somewhat Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Agree,Somewhat Disagree,Strongly Disagree,Disagree,Somewhat Agree,Strongly Disagree,Neutral,Very Unfair,Strongly Agree,Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Unfair,Strongly Agree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Strongly Agree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Agree,Somewhat Agree,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Unfair,Somewhat Disagree,Neutral,Strongly Disagree,Somewhat Agree,Strongly Disagree,Strongly Disagree,Neutral
1339,428,40-49,High School,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree
1344,799,18-29,Bachelor,Female,,75000-100000,false,true,false,false,false,,cps,properties first,Fair,Agree,Agree,Agree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Somewhat Disagree,Agree,Agree,Disagree,Disagree,Agree,Fair,Agree,Agree,Agree,Somewhat Disagree,Disagree,,Somewhat Agree,Fair,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Fair,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Fair,Agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Agree,Agree,Agree,Disagree,Disagree,Somewhat Agree,Fair,Agree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Fair,Agree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Agree,Fair,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree
1347,1148,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Strongly Disagree,Somewhat Disagree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Very Unfair,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
1348,2457,30-39,Bachelor,Female,,<25000,false,true,false,false,false,,cps,fairness first,,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Neutral,Agree,Fair,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Somewhat Fair,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Somewhat Agree,Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Agree,Very Fair,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Fair,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree
1352,1863,30-39,High School,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Unfair,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Strongly Agree,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Very Fair,Somewhat Agree,Neutral,Strongly Agree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Very Unfair,Neutral,Neutral,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Very Unfair,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Fair,Strongly Agree,Strongly Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Somewhat Disagree,Somewhat Disagree
1354,962,70 up,High School,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Unfair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Very Unfair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Very Unfair,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Unfair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Unfair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Fair,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Very Fair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Agree,Unfair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Somewhat Agree,Unfair,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree
1358,3152,30-39,High School,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Very Unfair,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Very Fair,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Fair,Strongly Disagree,Agree,Agree,Neutral,Neutral,Strongly Agree,Somewhat Agree,Very Fair,Somewhat Disagree,Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Unfair,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Very Fair,Strongly Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Very Unfair,Strongly Agree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Very Fair,Strongly Agree,Strongly Agree,Neutral,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Fair,Agree,Neutral,Neutral,Somewhat Agree,Neutral,Agree,Somewhat Agree
1359,1570,30-39,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,cps,properties first,Unfair,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Agree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Fair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Disagree,Very Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Agree,Agree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Unfair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Agree,Agree,Somewhat Disagree,Unfair,Somewhat Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Agree,Very Unfair,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Agree,Agree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Somewhat Disagree,Fair,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree
