Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child Demographics Reliability,Child Demographics Privacy,Child Demographics Volitionality,Child Demographics Causes Outcome,Child Demographics Causes Cycle,Child Demographics Causes Disparity,Child Demographics Caused by Group,Child CPS,Child CPS Reliability,Child CPS Privacy,Child CPS Volitionality,Child CPS Causes Outcome,Child CPS Causes Cycle,Child CPS Causes Disparity,Child CPS Caused by Group,Child Justice,Child Justice Reliability,Child Justice Privacy,Child Justice Volitionality,Child Justice Causes Outcome,Child Justice Causes Cycle,Child Justice Causes Disparity,Child Justice Caused by Group,Child Welfare,Child Welfare Reliability,Child Welfare Privacy,Child Welfare Volitionality,Child Welfare Causes Outcome,Child Welfare Causes Cycle,Child Welfare Causes Disparity,Child Welfare Caused by Group,Parent Demographics,Parent Demographics Reliability,Parent Demographics Privacy,Parent Demographics Volitionality,Parent Demographics Causes Outcome,Parent Demographics Causes Cycle,Parent Demographics Causes Disparity,Parent Demographics Caused by Group,Parent Welfare,Parent Welfare Reliability,Parent Welfare Privacy,Parent Welfare Volitionality,Parent Welfare Causes Outcome,Parent Welfare Causes Cycle,Parent Welfare Causes Disparity,Parent Welfare Caused by Group,Perp Demographics,Perp Demographics Reliability,Perp Demographics Privacy,Perp Demographics Volitionality,Perp Demographics Causes Outcome,Perp Demographics Causes Cycle,Perp Demographics Causes Disparity,Perp Demographics Caused by Group,Perp Welfare,Perp Welfare Reliability,Perp Welfare Privacy,Perp Welfare Volitionality,Perp Welfare Causes Outcome,Perp Welfare Causes Cycle,Perp Welfare Causes Disparity,Perp Welfare Caused by Group,All CPS,All CPS Reliability,All CPS Privacy,All CPS Volitionality,All CPS Causes Outcome,All CPS Causes Cycle,All CPS Causes Disparity,All CPS Caused by Group,All Health,All Health Reliability,All Health Privacy,All Health Volitionality,All Health Causes Outcome,All Health Causes Cycle,All Health Causes Disparity,All Health Caused by Group
1304,2891,50-59,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Fair,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Very Fair,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Fair,Agree,Somewhat Disagree,Disagree,Agree,Neutral,Disagree,Somewhat Agree,Fair,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Very Fair,Agree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Fair,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Somewhat Disagree,Somewhat Disagree,Agree,Agree,Agree,Somewhat Disagree,Somewhat Disagree,Very Fair,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree
1305,1814,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Agree,Somewhat Disagree,Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Very Fair,Strongly Agree,Somewhat Disagree,Agree,Disagree,Somewhat Agree,Agree,Agree,Very Fair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Unfair,Strongly Agree,Disagree,Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Agree,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Agree,Neutral,Neutral,Neutral,Fair,Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,Neutral,Neutral,Somewhat Fair,Agree,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Agree,Agree,Neutral,Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,Strongly Agree
1308,2529,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,false,true,,cps,fairness first,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Agree,,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Fair,Somewhat Agree,Somewhat Disagree,Disagree,Neutral,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Unfair,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Somewhat Unfair,Somewhat Agree,Disagree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Unfair,Somewhat Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Fair,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Very Fair,Strongly Agree,Strongly Disagree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Disagree,Disagree,Disagree
1310,3297,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Neutral,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,,Somewhat Unfair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Unfair,Agree,Agree,Somewhat Agree,Somewhat Agree,,,Somewhat Agree
1313,1188,18-29,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Very Unfair,Somewhat Agree,Strongly Agree,Strongly Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Very Fair,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Disagree,Disagree,Somewhat Agree,Very Unfair,Strongly Disagree,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Unfair,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Very Unfair,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Strongly Agree,,Strongly Agree,Strongly Agree,Unfair,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Fair,Neutral,Disagree,Neutral,Strongly Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Unfair,Strongly Disagree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Agree,Agree
1315,556,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Fair,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Fair,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Fair,Somewhat Disagree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,Fair,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Disagree,Agree,Fair,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Unfair,Somewhat Agree,Agree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Agree
1316,1700,30-39,Graduate,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Fair,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Somewhat Fair,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Fair,Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Fair,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree
1317,1446,40-49,Bachelor,Female,,<25000,false,true,false,false,false,,cps,properties first,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Fair,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Agree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Fair,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Agree,Disagree,Neutral,Neutral,Neutral,Fair,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Fair,Agree,Disagree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Fair,Agree,Disagree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral
1318,1682,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,cps,properties first,Very Unfair,Strongly Agree,Disagree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Disagree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree,Disagree,Somewhat Unfair,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Very Unfair,Agree,Agree,Somewhat Agree,Disagree,Agree,Strongly Agree,Disagree,Very Unfair,Strongly Agree,Disagree,Somewhat Disagree,Strongly Disagree,Agree,Strongly Agree,Disagree,Very Unfair,Agree,Agree,Disagree,Disagree,Agree,Strongly Agree,Somewhat Disagree,Unfair,Strongly Agree,Disagree,Somewhat Disagree,Disagree,Agree,Strongly Agree,Strongly Disagree,Unfair,Strongly Agree,Agree,Somewhat Agree,Strongly Disagree,Agree,Strongly Agree,Disagree,Fair,Agree,Somewhat Agree,Somewhat Disagree,Strongly Agree,Somewhat Disagree,Disagree,Disagree,Somewhat Fair,Somewhat Agree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Disagree
1321,1034,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Somewhat Agree,Neutral,Very Fair,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Fair,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Fair,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Neutral,Very Fair,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Neutral,Very Fair,Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Very Fair,Somewhat Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Fair,Somewhat Agree,Agree,Agree,Agree,Somewhat Agree,Neutral,Neutral,Fair,Somewhat Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Somewhat Disagree
