Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.7551678004535147,0.00033845721308493974,-0.06549645146057818,0.5647532205332196,0.038701644641340904,0.10864298704653877,0.26288362126486736,-0.0825183791829831,-0.06861656502520934,-0.05718236707140663
Within Bail,0.7259681528662421,0.0008652796716295481,0.027791020310157347,0.5674730958307724,0.04838775967164156,0.05459424100568079,0.21150128127389553,-0.2517288819031532,0.16033624209656294,-0.13068893305891993
Within Unem,0.6771904761904762,0.0008696567553449459,-0.1163043273612258,0.4894661716508849,-0.003643752050787811,0.16047073751797633,0.04643093919270929,0.055462811761072345,0.01211155625467209,-0.1942882150011796
Within CPS,0.77225,0.0008213834468995628,-0.26486186845467113,0.8231079393469014,0.17332952369992588,0.09454394556579675,0.04248983479169272,-0.03720189916539998,-0.10187234145185677,0.0375388337708512
Within Hos,0.7625968992248061,0.0009020243415121472,0.0065415343681612306,0.3791696059086497,0.18295100931807295,-0.0907994510852037,0.575549141851803,-0.1437028211565397,-0.39535950619374344,0.22459848873352992
Within Loan,0.8356620689655172,0.0008115576135580127,-0.32268990516747154,0.9304290350779278,-0.31483600325197936,-0.042338491575911706,0.6245503418894436,-0.18337074389905067,-0.15072607544956246,0.03377210405060038
Within Ins,0.6670104166666666,0.0012854833577774722,0.0842587782052501,0.42229693599942536,0.0019835294278536314,0.2710838711597696,0.1879822585390871,0.043774559475950034,-0.02016703078126302,-0.12423981379508221
